code,name,pressed,bounced
68,f10,18,0
29,ctrl,824,4
42,skift,615,3
51,",",60,0
31,s,477,0
45,x,58,0
28,enter,351,0
53,-,48,0
14,backspace,506,0
79,end,150,0
75,venstre pil,299,0
82,0,29,0
3,2,34,0
54,right shift,72,0
80,pil ned,227,3
77,højre pil,256,1
57,space,1130,5
61,f3,1,0
21,Y,133,0
30,A,738,0
72,8,181,0
46,c,350,4
38,l,215,0
23,i,428,0
20,t,452,0
35,h,197,0
15,tab,192,0
71,home,92,0
83,delete,148,0
48,b,95,0
24,o,431,0
49,n,356,0
18,e,547,0
52,:,108,2
22,u,191,0
33,f,306,0
4,#,20,0
19,r,327,1
541,alt gr,13,0
13,|,3,0
76,5,7,0
6,%,4,0
2,1,45,0
50,m,139,0
47,v,264,0
74,-,6,0
5,4,1,0
11,0,15,0
17,w,592,2
56,alt,138,0
32,d,537,0
37,k,77,0
25,p,84,0
86,<,11,0
91,venstre windows,28,0
44,z,34,0
34,g,97,0
73,9,6,0
43,',29,0
12,?,22,0
81,3,7,0
36,j,18,0
9,[,12,0
10,],3,0
1,esc,21,1
60,f2,2,0
8,/,4,0
39,æ,1,0
16,q,6,0
40,ø,1,0
7,&,1,0
26,å,1,0
63,f5,10,0
78,+,41,0
67,f9,5,0
59,f1,11,0
55,*,2,0
41,½,2,0
62,f4,1,0
